"legid","Term","FirstName","LastName","Age","Hometown","Qualifier","OccupationSlovak","Party","PartyName","PartyVote","PartyPrefVotes","PartySeats","PrefVotes","InitialRank","FinalRank","RankDifference","ClearedThresh","InitialTop4","MovedToSafe","MovedUp","GearysC","Discipline","things.sponsored","bills.sponsored","amend.sponsored","mean.bill.cosp","mean.amend.cosp","unique.bill.cosp","unique.amend.cosp","RiceOrdinary","RiceDesposato","RollRate","Party_next","PartyName_next","PartyVote_next","PartyPrefVotes_next","PartySeats_next","PrefVotes_next","InitialRank_next","FinalRank_next","RankDifference_next","ClearedThresh_next","InitialTop4_next","MovedToSafe_next","MovedUp_next","GearysC_next","Retired","Switched","TitlesNumber"
102,2002,"Vladimír","Palko",45,"","doc., RN","poslanec /mathematician",12,"KDH",237202,523559,15,62401,3,3,0,1,1,0,0,0.2996397,0.351799576570219,6,6,0,6.83333333333333,0,15,0,0.557734314615049,0.673197903014417,0.0206422018348624,6,"KDH",191443,485752,14,64026,2,3,-1,1,1,0,0,0.4218805,0,0,2
102,2006,"Vladimír","Palko",49,"Bratislava","doc., RNDr., CSc.","poslanec NR SR",6,"KDH",191443,485752,14,64026,2,3,-1,1,1,0,0,0.4218805,0.790273006689568,34,33,1,4.78787878787879,14,55,14,0.723919725185319,0.723919725185319,0.287470620141023,,,,,,,,,,,,,,,1,,3
103,2006,"Jaroslav","Paška",51,"Bratislava","Ing. arch.","vysokoškolský pedagóg",20,"SNS",270230,541733,20,11763,19,7,12,1,0,0,1,0.1711822,0.798770565901284,0,0,0,0,0,0,0,0.748056409329235,0.748056409329235,0.00705116615440246,,,,,,,,,,,,,,,1,,1
108,2006,"Pavol","Prokopovič",50,"Stropkov","Ing.","minister dopravy, pôšt a telekomunikácií SR",18,"SDKÚ",422815,999034,31,9748,10,13,-3,0,0,0,0,0.3231332,0.916109202675827,6,3,3,33,6.33333333333333,59,19,0.732176218887483,0.732176218887483,0.24697161453625,,,,,,,,,,,,,,,1,,1
110,2002,"Milan","Rehák",55,"","Ing.","poslanec /inz",6,"HZDS",560691,1310310,35,3250,18,18,0,0,0,0,0,0.1924079,0.808045165843331,6,0,6,0,24,0,46,0.432486473770877,0.627355601968387,0.167254763585039,14,"HZDS",202540,527450,15,12185,3,10,-7,1,1,0,0,0.3759794,0,0,1
110,2006,"Milan","Rehák",58,"Kostolná - Záriečie","Ing.","poslanec NR SR",14,"HZDS",202540,527450,15,12185,3,10,-7,1,1,0,0,0.3759794,0.904538058217321,1,1,0,2,0,2,0,0.674177363948653,0.674177363948653,0.0142831314409691,8,"HZDS",109480,236360,0,8041,3,6,-3,1,1,0,0,1.693175,0,0,1
112,2002,"Ján","Rusnák",46,"","Ing.","ekonóm",2,"SDKÚ",433953,869811,28,3064,16,16,0,0,0,0,0,0.2290249,0.967007762879323,14,5,9,3.4,3,13,9,0.77010115266996,0.804325148646566,0.0116443189837685,18,"SDKÚ",422815,999034,31,2057,33,33,0,0,0,0,0,0.1712064,0,0,1
112,2006,"Ján","Rusnák",50,"Vinné","Ing.","poslanec NR SR",18,"SDKÚ",422815,999034,31,2057,33,33,0,0,0,0,0,0.1712064,0.540227806906527,0,0,0,0,0,0,0,0.732176218887483,0.732176218887483,0.24697161453625,15,"SDKÚ",390042,802836,28,668,59,59,0,0,0,0,0,1.199216,0,0,1
114,2002,"Eva","Rusnáková",44,"","0","pedagóg",2,"SDKÚ",433953,869811,28,2431,28,28,0,0,0,0,0,0.1547271,0.924311926605505,22,2,20,6,5.36363636363636,12,45,0.77010115266996,0.804325148646566,0.0116443189837685,18,"SDKÚ",422815,999034,31,1707,56,56,0,0,0,0,0,0.2657447,0,0,1
115,2002,"Mária","Sabolová",46,"","Ing.","poslanec /inz",12,"KDH",237202,523559,15,8289,17,17,0,0,0,0,0,0.3474465,0.94530698659139,21,9,12,7.88888888888889,6.2,31,48,0.557734314615049,0.673197903014417,0.0206422018348624,6,"KDH",191443,485752,14,8612,19,8,11,1,0,1,1,0.3125572,0,0,1
